 Team Number,How do you feel about your team,Feedback on team's performance,What is the good thing about your team,What is the bad thing about your team,What improvements does your team needs to do for better performance,"What would you have done differently, if you are the team leader"
8,Somewhat satisfied,Good,Some of us relay working hard.,some of team member relay not interested in the group,Effective project management,1st i have to do - clarify each person role 
24,Somewhat satisfied,good,teamwork,-,-," connecting with each and everyone through chat, calls ,etc..and clarifying their doubts "
35,Very Satisfied,Good,They focus on goals and results,Nothing,clarify roles,Relationship building
8,Very Satisfied,Everyone is involving and doing their best.,Working unitely and making things done.,Not yet experienced any bad thing,"Everyone is expressing their ideas and our project met our expectations . so, according to me there's no such improvements needed. ",if i am the team leader i will make everyone work by teaching them whereever they are feeling trouble and i learn from them in whatever things i am facing the issues.
27,Somewhat satisfied,good,Every one is active,people join late when we have meet ,more involvement,Maintains dead line for our work
Team- 07,Very Satisfied,good team up ,understanding ,nothing,need more active ,Encourage to team everytime 
HANDY FITNESS GUIDE,Very Satisfied,VERY GOOD,COORDINATION,LANGUAGE ISSUE,TEAM WORK,UNIQUE THINKING
36,Very Satisfied,good,every one are responding and interacting ,Nothing,we r good going,setting strategy and monitoring progress towards goals
18,Very Satisfied,Everyone is very cooperative,Very Flexible and friendly,none,Getting more in detail,I will divide the task among all of them
Team-14,Very Satisfied,Good team management,Understanding,Nothing,need to be more active,Encourage the team everytime 
13,Somewhat satisfied,They are performing well.,They join every meet and discuss their doubt.,.,We should have to take meet at least two times a day.,.
13,Somewhat satisfied,Good and satisfactory,Co-operation is good among all team members,NA,Make more communication about project and everyone should participate in project group meeting,Control the other team members in proper way and discuss seperately with each team member if they have any difficulty
4,Very Satisfied,very interactive and good unity on overall team work,Good thing is there is no any type of misunderstanding and any attitude type of behaviour on our teammates.,Bad thing is when ever teams meet will conduct didnot respond qickly and there takes a time to respond to teammates,to understand the mentality and idea of other teammates guys it will improves the team work easily to gain the good output and good desing ,first of all i improve the communicaton between the teammates and make good unity between them
46,Very Satisfied,Very good,very cooperative,NA,NA,NA
46,Very Satisfied,All Team members are supporting to each other,All members interacting good if anyone facing issues,"No Bad thing , All are Good",we need to some what improve the time management,"I could Have contacted, each and everyone team member and asked weather that are facing any issues "
11,Very Satisfied,Performance of team is good!,"Team bonding is good, Everyone is supportive.","Not found till now, Everything is good",No Improvement,
27,Very Satisfied,Good,Cooperative,Time Management,Practice,I have managed the time 
20,Very Satisfied,good,collabrative,still now nothing,our team going well now,"if I am the leader , i will give seperate work to our team member"
41,Somewhat satisfied,Good,Team Cordination,Language Problem,Team Work,Proper Guiding for team members
41,Very Satisfied,Satisfied,All team members are well coordinated.,Nothing,Every one is well coordinated and it is better.,Will ask everyone opinion and decide.
34,Somewhat satisfied,"Good start, promising potential.","No egos, everybody is ready to listen to people who know and learn.","A bit slow, probably because some of them have not done the C project (being from Embedded or something) and some are little overwhelmed.","Quicken up, take more responsibility & make initiatives.","I and we have followed a different method, breaking down any work into parts and assigning them. Literally any piece of duty, and we're trying to balance the number of GitHub commits. That way our team is taking steps forward, together."
26,Very Satisfied,good,they all are very supportive and helpful,nothing,nothing,i will find unique talent and capitalize on them.deliver feedback to improve
34,Somewhat satisfied,"Everyone working in my team and I am happy with it team, It is going good with our project. ",Supporting each other,right now I don't have any bad thing with my team,We will divide the work equally and everyone will be good interactive with our team.,"Firstly i am happy to get  an opportunity like this and I would like to tell everyone have a individual goals be interactive with team members and supporting each other, sharing new idea, accepting other opinion these are all i am going to support as a team leader to get a success with my team."
21,Very Satisfied,I'm really happy with my team determination to finish this project,"Sharing differing opinions and experiences strengthens accountability and can help make effective decisions faster, than when done alone.",nothing,Enhance productivity by communicating effectively.,So that's the first thing if i am team leader i have to take action if i see anybody in our team not performing to the standards that i expect and i must take immediate action.
34,Very Satisfied,Very Satisfied,Teamwork,Can't think of any,Work more,Would have been more efficient in organizing the workloads
30,Very Satisfied,Doing well,Supportive and Encouraging,Sometime people not responding on whatsapp group that time we call by name then get response.,Time punctuality,Work with team and set a deadline for every action
22,Somewhat satisfied,"The team Performance is good ,Everyone is trying to give their best ",The good thing about  our team is everyone is supportive ,"Nothing bad about our team ,","Our team performance is good , ",
32,Very Satisfied,Good,Team Coordination,Language Issue,Team work,I would have improve better time management 
41,Very Satisfied,good ,team coordination,nothing,Team is better all performances,"If I'm team leader, I will suggest everyone opinion for projects  "
10,Very Satisfied,i really got a a good team and im very excited to be part of the team,good coordination &time management,NA,NA,ILL SHARE THE WORK TO MEMEBERS AND WE WILL DO SMART WORK ON IT
40,Very Satisfied,I'm really happy with my teams determination to finish this project.,"We communicate well with each other, we have discussed what to focus on goals and results. Everyone contributes their fair share.",Till now i didn't seen any bad thing in my team. We all did our part in time and all helped each other to move forward., I want to improve my ability to delegate tasks.,I try to always learn from my mistakes and view them as challenges to overcome or opportunities to do better the next time.
38,Somewhat satisfied,good,na,na,na,na
6,Very Satisfied,very good,very approchable,nothing,more work,work fast
26,Very Satisfied,the best ,,,,The best approach is to know how to spin yours answer so you can demnostrate how you've reflected upon and and learned from past experiences.
27,Very Satisfied,GOOD,"Sharing differing opinions and experiences strengthens accountability and can help make effective decisions faster, than when done alone. Team effort increases output by having quick feedback and multiple sets of skills come into play to support your work","A team of individuals who have bad attitudes toward colleagues, the company or work products is ineffective","Communicate, every day, every way. Good communication is at the heart of great teamwork",mentioning a specific situation
20,Very Satisfied,very cooperative ,good communication,nothing,communication skills,making others to interact properly and effectively
17,Very Satisfied,Good,Every part about project we discuss in team befor apply,NA,NA,Try to discuss with team & will work on the point that they suggest also
22,Very Satisfied,Good,Cooperative,I have not find anything bad about team yet,More coordination will increase our efficiency,Worked on it taking team together clearing all doubts at the same time.
Team 29,Somewhat satisfied,good,all are active,they are not responded at time,Be panctual,I will do all work and encourage to all members
Team-50,Very Satisfied,Good Performance,To learn more thing to doing in these project.,No,All members coordination is good ,I am done in the structural diagram in my projects .
29,Somewhat satisfied,We have finished 80% of our project,My team member is very cooperative,Any member did any part and not according to the decided part ,All members have to contribute to project,If I am team leader then I will divide the work and regularly check thr improvement of our project
2,Very Satisfied,So far it went as a good team play.,Way of communication between the team members.,Nothing there to specify as bad.,Nothing specifically there to do better. Overall the team done its best.,"If I'm a team leader, I will ensure my responsibility to deliver before the time."
19,Very Satisfied,Good ,Unity,Nothing ,Nothing ,Nothing now I am learning and understanding 
31,Very Satisfied,PRETTY GOOD,TIMING,NOTHING,NOTHING,I WILL BE MAKING DDEADLINE FOR EVERY WORK
31,Very Satisfied,Good Communication,Understanding the task,nothing,All should be available with us.,Nothing our whole members are decision taker.
45,Very Satisfied,Good,Very Supportive and Interactive,Nothing so far,Everything is perfect,
Srinivas K,Very Satisfied,Really good,Team work,Nothing,Nothing,Nothing
Team 16,Somewhat satisfied,Good,Everyone is co-operative and  considering each members suggestion,Sometimes people discuss in regional language which is difficult for others to understand.,No need for improvements,Improved individual performance and take initiate to complete risky tasks by myself
30,Somewhat satisfied,Good and hardworking people are there in team..But we need time to get to know eachother. Over all a good team.,They do the work that is assigned correctly,Nothing much,Good communication and cooperation might do.,Would have done something more creatively.
34,Very Satisfied,Everyone is perfect,"flexible,positive attitude,Respect others",NA,NA,NA
22,Very Satisfied,good,New ideas ,Nothing,communicate ,nothing
26,Very Satisfied,  Excellent,communicate well with each other,Nothing,Focus  on goals and results,build solid team and engage with the team with my vision
